name,year_of_data,district,Municipal_status,Distance_from_Tel Aviv _District border_Km,Number_of_councillors,Area,Population_density,Total population,Jews_and_others,Jews_percent_of_Jews_and_others,Arab_percentages,Muslims_percent_of_the_Arab_population,Christians_percent_of_the_Arab_population,Druze_percentage_of_the_Arab_population,Total_men,Total_woman,Age_0-4,Age_5-9,Age_10-14,Age_15-19,Age_20-29,Age_30-44,Age_45-59,Age_60-64,Age_65+,Age_0-17,Age_75+,Percentage_of_population_growth_compared_to_the_previous_year,migration_balance,Number_of_families_with_child,Average_monthly_salary_of_employee,Average_monthly_income_of_the_self-employed,Number_of_employees,Number_of_self-employed,Percentage_degree_35-55,Percentage_of_higher_education_within_8_years_out_of_school,Percentage_of_students_20-25,Percentage_of_total_students,Start_of_construction_apartments,Socioeconomic_cluster,Cluster_Most_peripheral,Residence_Percentage,Education_Percentage,Health_Percentage_of_Area,Public_utilities_Percentage,Culture_percentage,Commercial_Offices_Percentage,Industry_Percentage,Infrastructure_transportation_percentage,Agricultural_structures_percentage,Gardening_park_Percentage,Forest_percent,Plant_Percentage,crops Percentage,Open_space_percentage,Weighted_Average_Salary,Latitude,Longitude
גבעתיים,2021,תל אביב,עירייה,0.0,17.0,3.24,19112.345679012345,61924.0,99.9,96.3,0.0,0.0,0.0,0.0,"29,762","32,162",7.4,6.9,6.1,4.9,11.8,26.0,16.9,3.8,16.2,23.5,8.4,1.0,760.0,"7,333","17,843","14,080","26,660","2,527",59.7,60.5,19.7,4.4,220.0,9,10,65.9,6.5,0.9,2.8,1.9,16.4,0.0,0.0,0.0,2.5,0.0,0.0,0.0,3.1,17517.20081,32.0624699,34.8120305
גבעתיים,2022,תל אביב,עירייה,0.0,17.0,3.24,18913.888888888887,61281.0,99.9,96.5,0.0,0.0,0.0,0.0,"29,325","31,955",7.7,7.0,6.1,4.8,11.5,26.0,16.6,4.0,16.3,23.8,8.3,0.4,71.0,"7,321","14,053","13,301","28,542","3,601",58.3,55.4,21.7,4.5,226.0,9,10,65.9,6.5,0.9,2.8,1.9,16.4,0.0,0.0,0.0,2.5,0.0,0.0,0.0,3.1,13968.75298,32.0624699,34.8120305
גדרה,2016,המרכז,מועצה מקומית,23.3,13.0,11.43,2362.2047244094488,27000.0,99.6,97.6,0.0,0.0,0.0,0.0,13.2,13.9,8.9,11.0,10.8,9.2,10.5,20.8,15.4,3.2,10.1,36.9,4.9,3.2,-56.0,"3,409","11,462","11,126","11,367",787,40.4,67.5,11.3,2.9,48.0,7,6,24.6,1.4,0.4,0.3,0.5,1.1,0.0,3.1,0.2,0.0,0.0,15.5,30.3,22.6,11440.24321,31.8117747,34.7803882
גדרה,2017,המרכז,מועצה מקומית,23.3,13.0,1.9,14473.684210526317,27500.0,99.6,97.6,0.0,0.0,0.0,0.0,13.4,14.1,8.4,10.7,10.7,9.8,10.9,19.9,16.1,3.2,10.2,36.2,4.8,1.7,-41.0,"3,404","11,129","11,634","11,151",870,40.4,67.5,11.3,2.9,48.0,7,6,24.6,1.4,0.4,0.3,0.5,1.1,0.0,3.1,0.2,0.0,0.0,15.5,30.3,22.6,11165.54854,31.8117747,34.7803882
גדרה,2018,המרכז,מועצה מקומית,23.3,15.0,11.43,2457.830271216098,28093.0,99.6,97.5,0.0,0.0,0.0,0.0,"13,598","14,495",7.8,10.4,11.1,9.8,11.2,19.0,16.7,3.3,10.7,36.0,5.0,2.2,184.0,"3,420","11,791","12,386","11,846",828,40.4,63.0,11.9,3.0,527.0,7,6,24.6,1.4,0.4,0.3,0.5,1.1,0.0,3.1,0.2,0.0,0.0,15.5,30.3,22.6,11829.87171,31.8117747,34.7803882
גדרה,2019,המרכז,מועצה מקומית,23.3,15.0,11.43,2477.077865266842,28313.0,99.6,97.5,0.0,0.0,0.0,0.0,"13,705","14,609",7.3,10.0,10.9,10.5,11.4,18.1,17.5,3.4,10.9,35.0,5.1,0.8,-23.0,"3,421","12,021","11,739","12,285","1,097",42.8,43.7,11.8,3.0,459.0,7,6,24.6,0.4,0.4,0.3,0.5,1.1,0.0,3.1,0.2,0.0,0.0,15.5,30.3,22.6,11997.88283,31.8117747,34.7803882
גדרה,2020,המרכז,מועצה מקומית,23.3,14.333333333333334,11.43,2528.0839895013123,28896.0,99.6,97.7,0.0,0.0,0.0,0.0,"13,986","14,910",7.1,9.5,11.1,10.4,11.7,17.6,18.1,3.4,11.0,34.8,5.0,2.1,48.0,"3,428","11,726","11,496","12,168","1,070",44.1,58.0,12.8,3.4,264.0,7,6,24.6,1.4,0.4,0.3,0.5,1.1,0.0,3.1,0.2,0.0,0.0,15.5,30.3,22.6,11707.40958,31.8117747,34.7803882
גדרה,2021,המרכז,מועצה מקומית,23.5,15.0,11.43,2750.4811898512685,31438.0,99.6,97.3,0.0,0.0,0.0,0.0,"15,233","16,205",7.5,9.3,10.3,10.8,11.7,17.4,18.9,3.2,10.9,34.0,5.2,3.4,306.0,"3,310","13,060","12,709","12,402",827,46.0,52.8,11.5,3.3,153.0,7,6,31.3,1.8,0.4,0.5,0.9,1.0,0.1,4.8,0.0,0.8,1.1,13.8,33.9,9.6,13038.05753,31.8117747,34.7803882
גדרה,2022,המרכז,מועצה מקומית,23.5,15.0,11.43,2658.967629046369,30392.0,99.6,97.4,0.0,0.0,0.0,0.0,"14,734","15,659",7.6,9.3,10.5,10.8,11.7,17.7,18.5,3.4,10.5,34.5,4.7,5.2,-3.0,"3,353","11,726","11,496","12,168","1,070",44.9,41.6,12.9,3.4,375.0,7,6,31.3,1.8,0.4,0.5,0.9,1.0,0.1,4.8,0.0,0.8,1.1,13.8,33.9,9.6,11707.40958,31.8117747,34.7803882
גדרות,2016,המרכז,מועצה אזורית,13.861071428571428,17.0,13.72,379.0087463556851,5200.0,99.9,99.0,0.0,0.0,0.0,0.0,2.6,2.6,8.0,10.3,9.0,8.6,10.3,18.8,18.0,4.1,13.1,32.5,5.3,2.3,-110.0,617,"14,295","11,931","2,184",244,57.4,37.44498902706657,15.9,4.1,9.0,9,6,17.1,0.1,0.1,0.1,0.7,0.1,0.4,2.6,4.1,0.1,0.4,27.0,38.7,8.5,14057.43163,31.8242821,34.742949236695154
גדרות,2017,המרכז,מועצה אזורית,13.861071428571428,17.0,13.72,379.0087463556851,5200.0,99.9,99.0,0.0,0.0,0.0,0.0,2.6,2.6,7.3,10.2,9.2,8.5,10.5,18.2,18.5,4.2,13.4,31.8,5.4,0.0,-1.0,608,"13,897","12,154","2,090",264,57.4,37.44498902706657,15.9,4.1,9.0,9,6,17.1,0.1,0.1,0.1,0.7,0.1,0.4,2.6,4.1,0.1,0.4,27.0,38.7,8.5,13701.52336,31.8242821,34.742949236695154
גדרות,2018,המרכז,מועצה אזורית,13.861071428571428,17.0,13.72,380.46647230320696,5220.0,99.9,98.9,0.0,0.0,0.0,0.0,"2,566","2,654",7.0,10.0,9.3,8.4,11.0,18.0,18.6,4.0,13.7,31.5,5.5,0.8,81.0,596,"14,600","12,895","2,196",252,56.9,37.44498902706657,12.9,3.9,18.0,9,6,17.1,0.1,0.1,0.1,0.7,0.1,0.4,2.6,4.1,0.1,0.4,27.0,38.7,8.5,14424.48529,31.8242821,34.742949236695154
גדרות,2019,המרכז,מועצה אזורית,13.861071428571428,17.0,13.72,380.75801749271136,5224.0,99.9,98.8,0.0,0.0,0.0,0.0,"2,572","2,652",6.4,10.0,9.4,8.6,11.4,17.1,19.0,4.1,14.1,31.2,5.8,0.1,-98.0,587,"14,815","10,879","2,269",358,60.0,37.44498902706657,12.7,4.1,13.0,9,6,17.1,0.1,0.1,0.1,0.7,0.1,0.4,2.6,4.1,0.1,0.4,27.0,38.7,8.5,14278.61325,31.8242821,34.742949236695154
גדרות,2020,המרכז,מועצה אזורית,13.861071428571428,17.0,13.73,381.2818645302258,5235.0,99.9,99.0,0.0,0.0,0.0,0.0,"2,593","2,642",6.3,9.3,10.0,8.3,11.8,16.6,19.3,4.2,14.3,30.8,6.1,0.2,118.0,580,"14,166","11,587","2,314",348,61.3,37.44498902706657,16.2,4.9,8.0,9,6,17.1,0.1,0.1,0.1,0.7,0.1,0.4,2.6,4.1,0.1,0.4,27.0,38.7,8.5,13828.85049,31.8242821,34.742949236695154
גדרות,2021,המרכז,מועצה אזורית,13.861071428571428,17.0,13.72,379.0816326530612,5201.0,99.9,98.9,0.0,0.0,0.0,0.0,"2,577","2,623",5.9,7.9,10.9,8.8,12.0,14.7,20.6,4.2,14.9,29.8,6.9,0.2,37.0,555,"17,431","12,039","2,141",204,63.0,37.44498902706657,14.1,4.1,12.0,9,6,18.0,0.3,0.0,0.1,0.4,0.1,0.9,3.9,3.4,0.7,1.5,32.1,34.5,4.1,16961.93049,31.8242821,34.742949236695154
גדרות,2022,המרכז,מועצה אזורית,13.861071428571428,17.0,13.72,378.4256559766764,5192.0,99.9,98.8,0.0,0.0,0.0,0.0,"2,560","2,632",6.1,8.5,10.7,8.5,11.6,15.7,19.9,4.4,14.6,30.5,6.4,-0.8,-2.0,570,"14,166","11,587","2,314",348,61.9,37.44498902706657,13.0,4.2,12.0,9,6,18.0,0.3,0.0,0.1,0.4,0.1,0.9,3.9,3.4,0.7,1.5,32.1,34.5,4.1,13828.85049,31.8242821,34.742949236695154
גולן,2017,הצפון,מועצה אזורית,112.01538461538462,31.0,181.47072607260725,93.67902122790991,17000.0,99.9,97.5,0.0,0.0,0.0,0.0,8.9,8,11.1,11.4,9.5,12.2,12.9,19.3,13.2,4.2,6.2,38.9,0.7,2.5,2.0,"1,991","8,618","8,910","7,734",928,38.4,47.5,10.3,4.1,144.0,6,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,1.1,5.9,4.6,87.3,8649.283306,32.1452402,34.8320889
גולן,2018,הצפון,מועצה אזורית,112.01538461538462,31.0,181.47072607260725,96.64368672324024,17538.0,99.9,97.4,0.0,0.0,0.0,0.0,"9,204","8,334",11.0,11.2,10.6,12.7,11.9,19.0,12.8,4.2,6.7,40.3,0.7,3.5,44.0,"2,033","8,943","9,624","7,854",918,38.4,40.4,9.5,3.8,136.0,6,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,1.1,5.9,4.6,87.3,9014.267442,32.1452402,34.8320889
גולן,2019,הצפון,מועצה אזורית,112.01538461538462,31.0,181.47072607260725,99.09036233648683,17982.0,99.9,97.3,0.0,0.0,0.0,0.0,"9,437","8,545",10.8,11.2,9.9,12.5,12.5,19.0,12.9,3.9,7.3,39.4,0.9,2.5,-115.0,"2,075","9,159","8,399","8,061","1,274",41.8,38.8,9.1,3.7,119.0,6,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,1.1,5.9,4.6,87.3,9055.278522,32.1452402,34.8320889
גולן,2020,הצפון,מועצה אזורית,112.01538461538462,31.0,181.47072607260725,102.03298570917528,18516.0,99.9,97.1,0.0,0.0,0.0,0.0,"9,721","8,795",10.1,11.4,10.9,13.2,11.0,18.8,13.0,3.8,7.8,40.5,1.1,3.0,-52.0,"2,106","9,266","9,376","7,825","1,131",43.4,29.7,12.0,3.7,103.0,6,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,1.1,5.9,4.6,87.3,9279.891246,32.1452402,34.8320889
גולן,2021,הצפון,מועצה אזורית,112.01538461538462,31.0,181.47072607260725,110.7781978673337,20103.0,99.9,96.9,0.0,0.0,0.0,0.0,"10,526","9,577",9.7,11.4,10.7,13.5,11.2,18.6,13.2,3.4,8.3,39.5,1.6,4.6,10.0,"2,141","10,053","10,570","7,864",983,47.6,33.5,8.3,3.4,205.0,6,1,0.6,0.0,0.0,0.0,0.1,0.0,0.0,0.6,0.2,0.0,1.8,7.1,5.3,84.3,10110.44444,32.1452402,34.8320889
גולן,2022,הצפון,מועצה אזורית,112.01538461538462,31.0,181.47072607260725,105.87933611018006,19214.0,99.9,97.0,0.0,0.0,0.0,0.0,"10,074","9,140",9.9,11.6,10.4,13.0,11.5,18.8,13.2,3.5,8.1,39.4,1.3,3.8,-26.0,"2,120","9,266","9,376","7,825","1,131",45.2,42.0,9.3,3.7,139.0,6,1,0.6,0.0,0.0,0.0,0.1,0.0,0.0,0.6,0.2,0.0,1.8,7.1,5.3,84.3,9279.891246,32.1452402,34.8320889
גזר,2016,המרכז,מועצה אזורית,13.861071428571428,29.0,114.24,227.59103641456585,26000.0,100.0,99.1,0.0,0.0,0.0,0.0,13.3,12.7,10.5,10.3,8.8,7.9,12.6,20.5,16.0,4.6,8.8,34.7,3.3,2.4,13.0,"3,357","12,192","12,764","12,054","1,134",46.9,56.2,16.7,4.0,34.0,8,7,7.9,0.2,0.0,0.1,0.3,0.1,0.3,2.2,2.5,0.1,5.2,18.5,41.9,20.7,12241.18471,31.8770069,34.9208529
גזר,2017,המרכז,מועצה אזורית,13.861071428571428,29.0,114.02,232.41536572531132,26500.0,100.0,99.0,0.0,0.0,0.0,0.0,13.6,12.9,10.1,10.5,8.8,8.2,12.2,20.3,16.0,4.6,9.2,34.6,3.4,1.9,-98.0,"3,327","12,103","13,817","11,872","1,241",46.9,56.2,16.7,4.0,34.0,8,7,7.9,0.2,0.0,0.1,0.3,0.1,0.3,2.2,2.5,0.1,5.2,18.5,41.9,20.7,12265.21109,31.8770069,34.9208529
גזר,2018,המרכז,מועצה אזורית,13.861071428571428,28.0,114.02,235.56393615155235,26859.0,100.0,99.0,0.0,0.0,0.0,0.0,"13,776","13,083",9.8,10.3,9.3,8.1,12.1,19.6,16.5,4.6,9.7,34.6,3.5,1.4,54.0,"3,312","12,607","13,396","12,209","1,215",46.8,60.6,16.6,4.1,110.0,8,7,7.9,0.2,0.0,0.1,0.3,0.1,0.3,2.2,2.5,0.1,5.2,18.5,41.9,20.7,12678.41202,31.8770069,34.9208529
גזר,2019,המרכז,מועצה אזורית,13.861071428571428,28.0,114.02,238.26521662866165,27167.0,100.0,98.8,0.0,0.0,0.0,0.0,"13,911","13,256",9.3,10.2,9.4,8.3,12.0,19.2,16.7,4.6,10.2,34.2,3.6,1.1,169.0,"3,295","13,058","12,991","12,547","1,582",49.4,47.7,17.1,4.1,76.0,8,7,7.9,0.0,0.0,0.1,0.3,0.1,0.3,2.2,2.5,0.1,5.2,18.5,41.9,20.7,13050.49812,31.8770069,34.9208529
גזר,2020,המרכז,מועצה אזורית,13.861071428571428,28.33333333333333,114.02,239.8701982108402,27350.0,100.0,98.8,0.0,0.0,0.0,0.0,"14,001","13,349",8.9,10.1,9.8,8.1,12.0,18.7,17.1,4.5,10.9,34.0,3.8,0.7,4.0,"3,309","12,663","12,777","12,575","1,553",50.7,47.6,18.9,4.1,67.0,8,7,7.9,0.2,0.0,0.1,0.3,0.1,0.3,2.2,2.5,0.1,5.2,18.5,41.9,20.7,12675.53129,31.8770069,34.9208529
גזר,2021,המרכז,מועצה אזורית,13.861071428571428,28.0,119.49,232.06962925767849,27730.0,100.0,98.8,0.0,0.0,0.0,0.0,"14,226","13,503",8.1,9.7,9.9,8.8,11.6,17.5,18.1,4.5,11.8,33.3,4.2,0.4,70.0,"3,279","14,980","12,580","12,297","1,017",53.8,46.5,17.4,3.8,42.0,8,6,8.2,0.3,0.0,0.1,0.4,0.1,0.3,2.4,0.8,0.1,7.1,21.4,45.7,13.1,14796.67418,31.8770069,34.9208529
גזר,2022,המרכז,מועצה אזורית,13.861071428571428,28.0,121.36,227.60382333553065,27622.0,100.0,98.8,0.0,0.0,0.0,0.0,"14,162","13,460",8.4,10.1,9.8,8.3,12.0,17.9,17.6,4.5,11.4,33.6,4.1,1.0,37.0,"3,294","12,663","12,777","12,575","1,553",52.1,53.6,17.2,3.8,74.0,8,6,8.2,0.3,0.0,0.1,0.4,0.1,0.3,2.4,0.8,0.1,7.1,21.4,45.7,13.1,12675.53129,31.8770069,34.9208529
גן יבנה,2016,המרכז,מועצה מקומית,30.5,13.0,11.45,2017.467248908297,23100.0,99.7,96.7,0.0,0.0,0.0,0.0,11.6,11.5,7.7,10.2,11.1,9.5,13.6,19.0,19.0,3.4,6.5,35.0,2.1,2.9,-139.0,"2,603","10,943","10,494","10,966",827,30.3,48.9,13.2,3.6,64.0,7,6,27.7,1.3,0.0,0.1,0.7,0.4,1.0,1.3,0.2,0.6,0.0,8.2,39.7,18.8,10911.51327,31.79035865,34.70026297767875
גן יבנה,2017,המרכז,מועצה מקומית,30.5,13.0,7.46,3150.134048257373,23500.0,99.7,96.6,0.0,0.0,0.0,0.0,11.8,11.7,7.5,9.7,11.0,10.0,13.8,18.3,19.3,3.6,6.8,34.4,2.1,1.9,64.0,"2,572","10,905","10,805","10,856",882,30.3,48.9,13.2,3.6,64.0,7,6,27.7,1.3,0.0,0.1,0.7,0.4,1.0,1.3,0.2,0.6,0.0,8.2,39.7,18.8,10897.48594,31.79035865,34.70026297767875
גן יבנה,2018,המרכז,מועצה מקומית,30.5,13.0,11.45,2074.323144104804,23751.0,99.7,96.5,0.0,0.0,0.0,0.0,"11,906","11,845",7.2,9.4,10.6,10.1,14.3,17.6,20.1,3.6,7.1,33.3,2.2,0.9,47.0,"2,525","11,437","11,771","11,550",862,30.4,48.5,14.0,3.7,22.0,7,6,27.7,1.3,0.0,0.1,0.7,0.4,1.0,1.3,0.2,0.6,0.0,8.2,39.7,18.8,11460.19594,31.79035865,34.70026297767875
גן יבנה,2019,המרכז,מועצה מקומית,30.5,13.0,11.45,2084.6288209606987,23869.0,99.7,96.4,0.0,0.0,0.0,0.0,"11,948","11,921",6.9,8.7,10.7,10.0,14.6,16.8,20.8,4.0,7.4,32.5,2.3,0.5,-419.0,"2,474","11,795","11,173","11,878","1,062",32.7,43.2,15.6,3.8,63.0,7,6,27.7,0.0,0.0,0.1,0.7,0.4,1.0,1.3,0.2,0.6,0.0,8.2,39.7,18.8,11743.95178,31.79035865,34.70026297767875
גן יבנה,2020,המרכז,מועצה מקומית,30.5,13.0,11.45,2089.519650655022,23925.0,99.7,96.8,0.0,0.0,0.0,0.0,"12,031","11,894",6.4,8.3,10.4,10.4,14.9,16.1,21.3,4.4,7.8,31.3,2.6,0.2,-39.0,"2,429","11,359","11,066","11,992","1,002",34.1,46.3,17.2,4.2,288.0,7,6,27.7,1.3,0.0,0.1,0.7,0.4,1.0,1.3,0.2,0.6,0.0,8.2,39.7,18.8,11336.40603,31.79035865,34.70026297767875
גן יבנה,2021,המרכז,מועצה מקומית,30.5,13.0,11.45,2146.2008733624457,24574.0,99.7,96.4,0.0,0.0,0.0,0.0,"12,448","12,127",5.9,8.1,9.8,10.4,15.6,15.2,21.7,4.6,8.7,30.1,3.1,1.3,109.0,"2,308","12,843","11,979","11,914",821,36.9,42.7,17.8,4.4,254.0,7,6,30.0,1.7,0.0,0.5,0.4,0.3,1.7,1.5,0.0,0.5,0.1,15.2,34.8,13.3,12787.29965,31.79035865,34.70026297767875
גן יבנה,2022,המרכז,מועצה מקומית,30.5,13.0,11.45,2117.991266375546,24251.0,99.7,96.6,0.0,0.0,0.0,0.0,"12,174","12,077",6.1,8.3,10.1,10.4,15.3,15.4,21.6,4.5,8.3,30.8,2.8,1.4,-19.0,"2,375","11,359","11,066","11,992","1,002",35.5,42.3,17.7,4.1,955.0,7,6,30.0,1.7,0.0,0.5,0.4,0.3,1.7,1.5,0.0,0.5,0.1,15.2,34.8,13.3,11336.40603,31.79035865,34.70026297767875
גן רווה,2016,המרכז,מועצה אזורית,13.861071428571428,15.0,40.54,148.0019733596448,6000.0,100.0,98.1,0.0,0.0,0.0,0.0,3,3,9.1,9.0,8.1,10.3,11.4,19.8,17.7,3.9,10.9,33.1,4.6,3.6,7.0,726,"13,039","11,962","2,628",292,48.3,37.44498902706657,13.1,3.9,35.0,8,7,5.4,0.1,0.0,0.0,0.2,0.1,0.3,1.3,2.3,0.0,1.5,12.6,26.0,50.2,12931.3,31.91068775,34.743740162588324
גן רווה,2017,המרכז,מועצה אזורית,13.861071428571428,15.0,43.39,140.5853883383268,6100.0,100.0,98.1,0.0,0.0,0.0,0.0,3.1,3,8.5,9.1,8.0,10.3,11.7,19.5,17.9,4.0,11.1,32.0,4.7,1.7,38.0,725,"12,580","12,750","2,551",306,48.3,37.44498902706657,13.1,3.9,35.0,8,7,5.4,0.1,0.0,0.0,0.2,0.1,0.3,1.3,2.3,0.0,1.5,12.6,26.0,50.2,12598.20791,31.91068775,34.743740162588324
גן רווה,2018,המרכז,מועצה אזורית,13.861071428571428,16.0,43.39,145.19474533302605,6300.0,100.0,97.8,0.0,0.0,0.0,0.0,"3,218","3,082",8.6,9.1,8.4,10.1,11.8,19.0,17.6,4.4,10.9,32.6,4.7,3.3,-10.0,716,"13,774","14,703","2,702",289,47.6,43.3,11.8,4.0,26.0,8,7,5.4,0.1,0.0,0.0,0.2,0.1,0.3,1.3,2.3,0.0,1.5,12.6,26.0,50.2,13863.76296,31.91068775,34.743740162588324
גן רווה,2019,המרכז,מועצה אזורית,13.861071428571428,16.0,43.39,150.19589767227473,6517.0,100.0,97.8,0.0,0.0,0.0,0.0,"3,335","3,182",8.2,9.4,8.1,10.3,11.7,19.1,17.5,4.5,11.0,31.9,4.6,3.4,-0.5,702,"13,900","11,617","2,863",468,51.6,37.44498902706657,11.8,3.9,19.0,9,7,5.4,0.0,0.0,0.0,0.2,0.1,0.3,1.3,2.3,0.0,1.5,12.6,26.0,50.2,13579.24227,31.91068775,34.743740162588324
גן רווה,2020,המרכז,מועצה אזורית,13.861071428571428,15.666666666666666,40.49,160.3358854038034,6492.0,99.9,97.8,0.0,0.0,0.0,0.0,"3,300","3,192",8.1,8.8,8.3,9.9,12.4,18.2,17.7,4.9,11.8,32.2,5.0,-0.4,930.0,691,"13,635","12,125","3,020",452,51.7,33.3,19.0,4.6,17.0,9,7,5.4,0.1,0.0,0.0,0.2,0.1,0.3,1.3,2.3,0.0,1.5,12.6,26.0,50.2,13438.42166,31.91068775,34.743740162588324
גן רווה,2021,המרכז,מועצה אזורית,13.861071428571428,16.0,43.39,151.5326112007375,6575.0,99.8,98.0,0.0,0.0,0.0,0.0,"3,352","3,223",7.6,8.3,8.2,9.7,12.7,18.0,18.6,4.9,12.1,30.1,5.5,-0.2,840.0,653,"16,206","12,580","2,728",328,55.3,35.4,15.4,4.3,23.0,8,7,6.5,0.1,0.0,0.0,0.2,0.1,0.5,2.2,1.1,0.1,3.2,14.7,27.8,43.5,15816.82199,31.91068775,34.743740162588324
גן רווה,2022,המרכז,מועצה אזורית,13.861071428571428,16.0,43.39,151.76307905047247,6585.0,99.8,97.9,0.0,0.0,0.0,0.0,"3,367","3,218",7.8,8.7,8.0,10.5,12.2,18.0,18.3,4.8,11.9,31.2,5.1,1.4,183.0,675,"13,635","12,125","3,020",452,53.7,37.44498902706657,15.8,4.1,15.0,8,7,6.5,0.1,0.0,0.0,0.2,0.1,0.5,2.2,1.1,0.1,3.2,14.7,27.8,43.5,13438.42166,31.91068775,34.743740162588324
גני תקווה,2016,המרכז,מועצה מקומית,1.9,13.0,2.11,8199.052132701423,17300.0,99.9,98.6,0.0,0.0,0.0,0.0,8.4,8.9,10.2,10.0,8.7,6.3,10.1,21.0,16.1,5.3,12.3,33.0,4.3,7.8,335.0,"2,010","13,436","13,638","8,148",691,51.1,65.8,17.2,3.2,392.0,8,9,55.2,3.3,0.0,1.0,1.9,0.5,0.0,0.0,0.0,0.5,0.0,0.5,5.2,31.9,13451.79161,32.0604256,34.8760954
גני תקווה,2017,המרכז,מועצה מקומית,1.9,13.0,9.201761658031089,1977.882135657736,18200.0,99.9,98.6,0.0,0.0,0.0,0.0,8.8,9.4,10.0,10.1,8.6,6.6,9.6,20.4,16.3,4.9,13.7,32.9,5.1,5.4,3.0,"2,015","13,711","14,365","8,247",757,51.1,65.8,17.2,3.2,392.0,8,9,55.2,3.3,0.0,1.0,1.9,0.5,0.0,0.0,0.0,0.5,0.0,0.5,5.2,31.9,13765.98423,32.0604256,34.8760954
גני תקווה,2018,המרכז,מועצה מקומית,1.9,13.0,2.11,9129.383886255924,19263.0,99.9,98.6,0.0,0.0,0.0,0.0,"9,336","9,928",9.7,10.1,8.6,7.1,9.4,19.8,16.2,4.8,14.4,32.9,5.6,5.6,-25.0,"2,020","14,354","15,607","8,671",780,51.9,56.0,16.2,3.0,165.0,8,9,55.2,3.3,0.0,1.0,1.9,0.5,0.0,0.0,0.0,0.5,0.0,0.5,5.2,31.9,14457.41128,32.0604256,34.8760954
גני תקווה,2019,המרכז,מועצה מקומית,1.9,13.0,2.11,9667.298578199052,20398.0,99.9,98.5,0.0,0.0,0.0,0.0,"9,898","10,500",9.3,10.2,8.6,7.3,9.2,19.3,16.8,4.4,14.9,32.9,6.1,5.9,217.0,"2,009","14,720","14,382","9,374","1,097",54.0,56.2,15.9,2.9,158.0,9,9,55.2,0.0,0.0,1.0,1.9,0.5,0.0,0.0,0.0,0.5,0.0,0.5,5.2,31.9,14684.58925,32.0604256,34.8760954
גני תקווה,2020,המרכז,מועצה מקומית,1.9,13.0,2.11,10213.744075829383,21551.0,99.9,98.5,0.0,0.0,0.0,0.0,"10,478","11,073",8.9,10.2,9.1,7.4,9.3,18.8,16.9,4.1,15.3,33.0,6.3,5.7,19.0,"2,028","14,415","14,689","8,754","1,052",55.6,48.4,17.9,2.9,273.0,9,9,55.2,3.3,0.0,1.0,1.9,0.5,0.0,0.0,0.0,0.5,0.0,0.5,5.2,31.9,14444.39506,32.0604256,34.8760954
גני תקווה,2021,המרכז,מועצה מקומית,1.4,13.0,2.16,10947.22222222222,23646.0,99.9,98.3,0.0,0.0,0.0,0.0,"11,466","12,180",8.4,10.2,9.3,7.7,9.3,18.2,17.6,3.7,15.7,32.7,7.1,4.2,62.0,"2,028","17,896","15,304","9,498",841,58.0,57.8,17.3,3.0,28.0,9,9,64.8,5.2,0.0,0.9,3.3,1.4,0.0,0.9,0.0,0.9,0.0,0.5,2.8,19.3,17685.16027,32.0604256,34.8760954
גני תקווה,2022,המרכז,מועצה מקומית,1.4,13.0,2.16,10506.48148148148,22694.0,99.9,98.4,0.0,0.0,0.0,0.0,"11,010","11,684",8.8,10.1,9.0,7.7,9.1,18.6,17.3,3.9,15.5,32.7,6.6,5.3,353.0,"2,047","14,415","14,689","8,754","1,052",56.9,51.2,18.4,3.1,8.0,9,9,64.8,5.2,0.0,0.9,3.3,1.4,0.0,0.9,0.0,0.9,0.0,0.5,2.8,19.3,14444.39506,32.0604256,34.8760954
דאלית אל-כרמל,2016,חיפה,מועצה מקומית,71.9,13.0,9.07,1874.3109151047408,17000.0,0.0,0.0,100.0,2.7,0.1,97.2,8.6,8.4,8.2,8.4,8.3,8.3,16.6,22.1,17.5,4.0,6.6,29.7,2.2,1.3,-138.0,"3,340","7,068","6,602","7,168",677,13.2,25.1,14.3,3.2,174.0,4,4,49.8,0.4,0.1,0.1,0.5,1.7,0.3,0.1,0.0,0.0,23.6,3.3,0.3,19.8,7027.785596,32.6922393,35.0482785
דאלית אל-כרמל,2017,חיפה,מועצה מקומית,71.9,13.0,9.44,1822.033898305085,17200.0,0.0,0.0,0.0,2.8,0.1,97.2,8.7,8.5,8.1,8.1,8.2,8.2,16.5,22.1,17.8,4.1,7.0,29.2,2.3,1.2,456.0,"3,364","7,058","7,130","7,147",742,13.2,25.1,14.3,3.2,174.0,4,4,49.8,0.4,0.1,0.1,0.5,1.7,0.3,0.1,0.0,0.0,23.6,3.3,0.3,19.8,7064.771961,32.6922393,35.0482785
